ids,text,labels,parents
Ori-J5-Sub,,"If i had an hour to solve a problem i'd spend 55 minutes thing about<br>
the problem and 5 minutes thingking about solutions.<br>
- Albert Einstein",Ori-J5
Ori-J6-Sub,,,Ori-J6
Ori-K1-Sub,,"Extraverted Intuitive Thinking Judging (ENTJ)<br><br>

Acronym : Executives Navigating Tough Jobs<br><br>

ENTJ's focus on the most efficient and organized means of performing a task.<br>
This quality, along with their goal orientation, often makes ENTJ's superior<br>
leaders, both realistic and visionary in implementing a long-term plan.<br><br>

ENTJ's tend to be fiercely independent in their decision making, having<br>
a strong will that insulates them against external influence.<br><br>

Generally highly competent, ENTJ's analyze and structure<br>
the world around them in a logical and rational way.",Ori-K1
Ori-K2-Sub,,"Are natural born leaders.<br>
Dislike seeing mistakes repeated.<br>
Are very forceful and decisive.<br>
Love interacting with people.<br>",Ori-K2
Ori-K3-Sub,,"Administrator, CEO, Entrepreneur,<br>
Lawyer, Judge, Manager<br><br>

More (The Commander) :<br>
CEO, Judge, Business Consultant, Sales Manager,<br>
Actor, Politician, Administrator",Ori-K3
Ori-K4-Sub,,"Bill Gates, Carl Sagan, Julius Caesar, Madeleine Albright,<br>
Margaret Thatcher, Napoleon Bonaparte",Ori-K4
Ori-K5-Sub,,"Live your vision and demand your success.<br>
- Steve Maraboli",Ori-K5
Ori-K6-Sub,,,Ori-K6
Ori-L1-Sub,,"Introverted Intuitive Thinking Judging (INTJ)<br><br>

Acronym : It's Not Thoroughly Justified<br><br>

INTJ's are analytical. They are most comfortable working alone and<br>
tend to be less sociable than other types.<br><br>

They have a low tolerance for spin or rampant emotionalism. They are not<br>
generally susceptible to catchphrases and do not recognize<br>
authority based on tradition, rank, or title.<br><br>

They harbor an innate desire to express themselves by conceptualizing<br>
their own intellectual designs. They have a talent for analyzing<br>
and formulating complex theories.",Ori-L1
Ori-L2-Sub,,"Value intelligence, knowledge and competence.<br>
Focus on generating ideas and possibilities.<br>
Not easy for the INTJ to express their insights.<br>
Spend a lot of time inside their own minds.<br>",Ori-L2
Ori-L3-Sub,,"Programmer, Scientist, Corporate Strategist, Doctor, Engineer<br><br>

More (The Mastermind) :<br>
Programmer, Scientist, Database Admin, Astronomer,<br>
Economist, Aerospace Engineer, Financial Analyst",Ori-L3
Ori-L4-Sub,,"Ayn Rand, Bobby Fischer, Dwight D. Eisenhower, Jane Austen,<br>
Jay Z, Karl Marx, Mark Zuckerberg, Martin Luther,<br>
Sir Isaac Newton, Stephen Hawking",Ori-L4
Ori-L5-Sub,,"There's always room for improvement, you know -<br>
it's the biggest room in the house.<br>
- Louise Heath Leber",Ori-L5
Ori-L6-Sub,,,Ori-L6
Ori-M1-Sub,,"Extraverted Intuitive Feeling Perceiving (ENFP)<br><br>

Acronym : Eagerly Noting Fun Playgrounds<br><br>

ENFP's are initiators of change, keenly perceptive of possibilities. They energize<br>
and stimulate others through their Contagious enthusiasm.<br><br>

They prefer the start-up phase of a project or relationship, and are<br>
tireless in the pursuit of new-found interests.<br><br>

ENFP's are able to anticipate the needs of others and to offer them needed<br>
help and appreciation. They bring zest, joy, liveliness, and<br>
fun to all aspects of their lives.",Ori-M1
Ori-M2-Sub,,"Have a broad range of skills and talents.<br>
They are warm and interested in people.<br>
They have a strong need to be independent.<br>
Very passionate about things and ideas.<br>",Ori-M2
Ori-M3-Sub,,"Actor, Counselor, Journalist,
Politician, Teacher, Writer<br><br>

More (The Champion) :<br>
Charity Director, Character Actor, Event Planner,<br>
Public Relations, News Anchor, Spokesperson, Journalist",Ori-M3
Ori-M4-Sub,,"Ellen DeGeneres, George Carlin, J.J. Abrams, Jennifer Anniston,<br>
Jerry Seinfeld, Julian Assange, Mark Twain, Orson Welles,<br>
Salman Rushdie, Walt Disney",Ori-M4
Ori-M5-Sub,,"Ideas can be life-changing. Sometimes all you need<br>
to open the door is just one more good idea.<br>
- Jim Rohn",Ori-M5
Ori-M6-Sub,,,Ori-M6
Ori-N1-Sub,,"Introverted Intuitive Feeling Perceiving (INFP)<br><br>

Acronym : Ideals Need Faithful Pursuit<br><br>

The polite, reserved exterior of INFP's can at first make them difficult to get to know.<br>
They enjoy conversation, however, taking particular delight in the unusual.<br><br>

Devoted to those in their inner circle, INFP's guard the emotional well-being of others,<br>
consoling those in distress. Guided by their desire for harmony,<br>
INFP's prefer to be flexible unless their ethics are violated.<br><br>

Though not always organized, INFP's are meticulous about things they value.",Ori-N1
Ori-N2-Sub,,"Main goal is to find out their meaning in life.<br>
Are good listeners and put people at ease.<br>
Very high standards and are perfectionists.<br>
Will fight passionately for their ""cause"".<br>",Ori-N2
Ori-N3-Sub,,"Artist, Counselor, Editor, Musician,<br>
Political Activist, Teacher, Writer<br><br>

More (The Mediator) :<br>
Missionary, Curator, College Professor,<br>
Actor, Composer, Teacher, Counselor",Ori-N3
Ori-N4-Sub,,"A. A. Milne, Albert Schweitzer, Andy Warhol, Chloe Sevigny,<br>
Chris Martin, Hellen Keller, John Lennon, Kurt Cobain,<br>
Tom Hiddleston, Vincent Van Gogh, William Shakespeare",Ori-N4
Ori-N5-Sub,,"If you light a lamp for somebody, it will also brighten your path.<br>
- Buddhist Saying",Ori-N5
Ori-N6-Sub,,,Ori-N6
Ori-O1-Sub,,"Extraverted Intuitive Feeling Judging (ENFJ)<br><br>

Acronym : Everyone Needs Fulfillment & Joy<br><br>

ENFJ's seek continuity through harmonious relationships and collective values.<br>
The excel at picking up on the tone of a situation and acting accordingly,<br>
adding warmth to a cool setting or turning sour into sweet.<br><br>

They are natural cheerleaders, often expressing support, gratitude,<br>
and encouragement, and heaping praise onto those they appreciate.<br>
They take note of what is being done and what needs doing,<br>
offering their assistance wherever necessary.",Ori-O1
